,university_name,professor_name,ave_if,num_of_pub,overall_impact,impact_level,Community Contribution
49,University of Pennsylvania,Ravi Radhakrishnan,7.793846153846153,6.5,84.64535732135191,4,Tier 2
50,Massachusetts Institute of Technology,Peter Dedon,8.608620689655174,11.6,171.05073900411531,5,Tier 1
51,Johns Hopkins University,Alison Hill,9.113793103448277,2.9,45.92212267859679,3,Tier 3
52,University of Toronto,Patricia Trbovich,3.4823529411764707,5.1,24.26113742053197,2,Tier 4
53,University of California Los Angeles,Jennifer Wilson,14.794594594594598,3.7,107.35704778872105,4,Tier 2
54,University of Toronto,Sara S Nunes,9.717241379310344,2.9,49.753855039816486,3,Tier 3
55,Georgia Institute of Technology,Muralidhar Padala,5.364705882352942,1.7,13.8797395756619,1,Tier 5
56,University of Sydney,Behnam Akhavan,9.473684210526315,1.9,31.57928052104369,2,Tier 4
57,University of Pittsburgh,Edwards W Barry,5.253333333333333,1.5,11.92984928568741,1,Tier 5
58,University of California San Diego,Duygu Kuzum,12.399999999999999,2.1,48.864831010575934,3,Tier 3
59,University of Tokyo,Kouhei Tsumoto,5.02974358974359,19.5,146.88143898604224,5,Tier 1
60,University of California San Francisco,Daniel Vigneron,4.328181818181817,11.0,68.6711871892982,4,Tier 2
61,University of Pittsburgh,Leuba Sanford,7.959999999999999,0.5,6.685152812199575,0,Tier 6
62,University of Cambridge,Tim Wilkinson,5.3999999999999995,0.3,2.4695251560314273,0,Tier 6
63,Shanghai Jiao Tong University,Junfeng Sun,3.9875000000000003,4.8,27.046875844836517,2,Tier 4
64,Cornell University,Yi Wang,5.506735751295337,19.3,162.80776144193635,5,Tier 1
65,University of Toronto,Axel Gunther,8.722222222222221,0.9,13.490450215186987,1,Tier 5
66,Columbia University,Andrew Marks,11.171698113207547,5.3,108.24924075421066,4,Tier 2
67,Shanghai Jiao Tong University,Jingfeng Bai,3.577777777777778,0.9,4.428526137493114,0,Tier 6
68,Shanghai Jiao Tong University,Xianting Ding,6.618354430379747,15.8,167.72376908012433,5,Tier 1
69,Cornell University,Andrew I Schafer,9.633333333333333,0.3,5.091455938896105,0,Tier 6
70,Columbia University,Sanja Vickovic,17.725,0.4,14.547648401257668,1,Tier 5
71,Duke University,Joel Collier,12.441025641025641,3.9,91.12443288369512,4,Tier 2
72,University of Washington,Wendy Thomas,5.390625,3.2,26.284449141140968,2,Tier 4
73,University of California Los Angeles,Yuhua Zhang,3.09,1.0,4.0968314736675335,0,Tier 6
74,University of Pennsylvania,Lukasz Bugaj,8.342105263157894,1.9,26.936935288089774,2,Tier 4
75,University of Pittsburgh,Sejdic Ervin,4.94056603773585,10.6,78.07765318314017,4,Tier 2
76,University of Cambridge,Michael Sutcliffe,4.148148148148149,2.7,15.983857067196277,1,Tier 5
77,University of California San Francisco,Atul Butte,9.13851851851852,13.5,214.5006012175406,5,Tier 1
78,Johns Hopkins University,Eileen Haase,3.2,0.4,1.7119751807396406,0,Tier 6
79,Johns Hopkins University,Scot Kuo,8.299999999999999,0.3,4.226383188721397,0,Tier 6
80,Nanyang Technological University,Ling Tong,6.25,0.6,5.929270612815712,0,Tier 6
81,University of Cambridge,Norman Fleck,2.433333333333333,0.3,0.9117447294849902,0,Tier 6
82,Stanford University,Hyongsok T Soh,12.52142857142857,1.4,32.97580347559663,2,Tier 4
83,University of Pittsburgh,Hung Tin-kan,2.3666666666666667,0.3,0.8806282682055232,0,Tier 6
84,University of California Berkeley,Teresa Head-Gordon,6.8627450980392135,10.2,113.29806875623163,4,Tier 2
85,Johns Hopkins University,Soumyadipta Acharya,3.3687500000000004,1.6,7.302237615372916,1,Tier 5
86,Georgia Institute of Technology,Simon Sponberg,7.264285714285714,2.8,33.39251870351529,3,Tier 3
87,University of Sydney,Yogambha Ramaswamy,7.41764705882353,1.7,20.81045749831082,2,Tier 4
88,University College London,Andrea Rayat,5.3999999999999995,0.6,4.939050312062855,0,Tier 6
89,Carnegie Mellon University,Timothy Verstynen,3.7849056603773588,5.3,27.979805645729922,2,Tier 4
90,Cornell University,Shaoyi Jiang,12.7,1.5,35.962171702036194,3,Tier 3
91,Cornell University,Warren R Zipfel,8.124137931034483,2.9,39.77586272939563,3,Tier 3
92,Massachusetts Institute of Technology,K Dane Wittrup,9.530555555555557,7.2,120.56750340132467,5,Tier 1
93,Imperial College London,Mengxing Tang,4.639655172413793,5.8,39.494363934949526,3,Tier 3
94,Johns Hopkins University,Jordan Green,8.395199999999999,12.5,178.6277062778686,5,Tier 1
95,University College London,Martina Micheletti,4.966666666666667,0.9,6.673040743959853,0,Tier 6
96,Shanghai Jiao Tong University,Jie Luo,6.210084033613445,11.9,116.65914997025338,4,Tier 2
97,Georgia Institute of Technology,Nael Mccarty,5.27,2.0,15.969571554995357,1,Tier 5
98,University of Michigan,Chandramouli Krishnan,3.2940298507462686,6.7,29.732690886750763,2,Tier 4
99,Massachusetts Institute of Technology,Ernest Fraenkel,11.094736842105263,5.7,115.41735373062741,4,Tier 2
100,Carnegie Mellon University,Patjanaporn Chalacheva,5.966666666666666,0.3,2.7976022915998215,0,Tier 6
101,Georgia Institute of Technology,Timothy Whelan,22.5,0.1,4.900361821529471,0,Tier 6
102,Johns Hopkins University,Clifford Weiss,3.9894736842105263,11.4,64.27607623609263,4,Tier 2
103,McGill University,Damiano Pasini,3.8148148148148144,2.7,14.394798496281712,1,Tier 5
104,Massachusetts Institute of Technology,Laurie A Boyer,12.646153846153847,2.6,62.004245064167996,4,Tier 2
105,Imperial College London,Peter D Weinberg,4.102702702702703,3.7,21.60425443863674,2,Tier 4
106,University of Pittsburgh,Wu Haodi,3.966666666666667,0.6,3.358794116121303,0,Tier 6
107,University of Pennsylvania,Dani S Bassett,7.802597402597404,7.7,100.41294940769365,4,Tier 2
108,Peking University,Yangming Wang,10.717500000000001,4.0,77.56697529281105,4,Tier 2
109,University of Oxford,Seymour Ben,9.233333333333333,0.9,14.485738880984302,1,Tier 5
110,University of California Los Angeles,Timothy Deming,8.985,4.0,62.223952336490385,4,Tier 2
111,Duke University,Gregg E Trahey,2.483333333333333,1.8,5.611336040437821,0,Tier 6
112,University of Toronto,Hani Naguib,6.926086956521738,4.6,51.685385091286236,3,Tier 3
113,University of California San Diego,Gene Yeo,15.321761658031086,19.3,585.050273680103,5,Tier 1
114,Massachusetts Institute of Technology,Domitilla Del Vecchio,8.11176470588235,3.4,46.545006794754194,3,Tier 3
115,Columbia University,Kristin M Myers,4.328571428571428,2.8,17.48190544619925,2,Tier 4
116,University of Washington,Kim Woodrow,6.702702702702703,3.7,39.90379218264401,3,Tier 3
117,University of California San Diego,James Friend,4.6225000000000005,4.0,27.111661974139473,2,Tier 4
118,University of Toronto,Caitlin Maikawa,6.466666666666666,0.3,3.0936547761209976,0,Tier 6
119,Shanghai Jiao Tong University,Huajun She,4.033333333333333,1.2,6.859009281570802,0,Tier 6
120,University of California San Diego,John Watson,27.200000000000003,0.2,12.423418798337442,1,Tier 5
121,University of Pennsylvania,Nader Engheta,11.599999999999998,4.6,98.47598153263972,4,Tier 2
122,University of Washington,Barry Lutz,5.352,5.0,40.70194239352954,3,Tier 3
123,Duke University,Amy L Mcnulty,4.65,3.0,20.485069693537337,2,Tier 4
124,Johns Hopkins University,Rong Li,11.691379310344828,5.8,125.38921459450223,5,Tier 1
125,Imperial College London,Jun Ishihara,13.057142857142859,1.4,34.74867349155141,3,Tier 3
126,University of California Berkeley,Kevin Healy,8.392592592592594,5.4,77.13721175004422,4,Tier 2
127,University of Washington,Michael Regnier,7.497979797979798,9.9,122.8331323984812,5,Tier 1
128,University of California Los Angeles,William Hsu,5.233823529411766,6.8,53.83103832526994,3,Tier 3
129,University of Pittsburgh,Marra Kacey,4.46,6.5,42.12907561266641,3,Tier 3
130,Rice University,Laura Segatori,7.613333333333333,3.0,37.9393434278355,3,Tier 3
131,Peking University,Heping Cheng,11.024590163934429,6.1,122.5414181648652,5,Tier 1
132,McGill University,Codruta Ignea,11.2,0.5,10.244541655361378,1,Tier 5
133,Johns Hopkins University,Natalia Trayanova,7.553086419753086,16.2,202.84793071566233,5,Tier 1
134,University of Pittsburgh,Kalinski Pawel,6.8166666666666655,3.0,33.04352166657184,2,Tier 4
135,Georgia Institute of Technology,Mijin Kim,14.4,0.1,2.805130789704855,0,Tier 6
136,Georgia Institute of Technology,Adam Marcus,4.277272727272727,2.2,13.53260355401663,1,Tier 5
137,University of Michigan,J Brian Fowlkes,4.191999999999999,5.0,29.99139017208318,2,Tier 4
138,University of Pittsburgh,Liu Yang,7.969306930693068,10.1,135.23747882269598,5,Tier 1
139,University College London,Nicolas Szita,4.403846153846153,2.6,16.586834880878474,1,Tier 5
140,Duke University,Mark L Palmeri,3.196666666666667,3.0,12.823097525379065,1,Tier 5
141,Georgia Institute of Technology,Stephen Sprigle,1.9435897435897438,3.9,8.94994476969523,1,Tier 5
142,University of Oxford,Cleveland Robin,3.9192307692307695,2.6,14.337531762342588,1,Tier 5
143,University of Washington,Jay T Rubinstein,1.920588235294118,3.4,7.687263136954618,1,Tier 5
144,Columbia University,Elizabeth Olson,3.278260869565217,4.6,20.29140966655106,2,Tier 4
145,Columbia University,Edward X Guo,29.5,0.2,13.750152524584582,1,Tier 5
146,University of California Los Angeles,Elisa Franco,13.764000000000001,2.5,66.27822035517741,4,Tier 2
147,Massachusetts Institute of Technology,Ron Weiss,13.43809523809524,6.3,162.09241499568745,5,Tier 1
148,Duke University,Jen-tsan A Chi,19.8,0.3,12.530048226705798,1,Tier 5
149,Imperial College London,Sylvain Ladame,7.994736842105263,1.9,25.54223034243265,2,Tier 4
150,University of California San Francisco,Michael Silber,3.1666666666666665,0.3,1.2672847037701156,0,Tier 6
151,University of Sydney,Tonima Ali,3.0,0.1,0.3948222038857478,0,Tier 6
152,Stanford University,Lacramioara Bintu,13.163157894736841,1.9,47.63802131758523,3,Tier 3
