,university_name,professor_name,ave_if,num_of_pub,overall_impact,impact_level,Community Contribution
285,University of Washington,Albert Folch,6.1913043478260885,4.6,44.92473492694431,3,Tier 3
286,University of Pittsburgh,Sigal Ian,4.031999999999999,7.5,42.851094358402186,3,Tier 3
287,University of Pittsburgh,Shiwarski Daniel,7.803448275862069,2.9,37.82301918060925,3,Tier 3
288,Nanyang Technological University,Timothy Thatt Yang Tan,8.495652173913046,2.3,33.35982319393551,3,Tier 3
289,University of Michigan,Paul Cederna,3.3469565217391306,11.5,52.060751007923656,3,Tier 3
290,Tsinghua University,Gao Xiaorong,4.276056338028169,7.1,43.65787789290529,3,Tier 3
291,Imperial College London,Amanda Foust,4.23,1.0,6.066322004300033,0,Tier 6
292,University College London,Jack Jeffries,3.66,0.5,2.5311702715228077,0,Tier 6
293,University of Pennsylvania,Yale E Cohen,4.247368421052631,1.9,11.585199535095606,1,Tier 5
294,Shanghai Jiao Tong University,Wanlu Li,7.381818181818182,3.3,40.1530112039686,3,Tier 3
295,Johns Hopkins University,Feilim Mac Gabhann,4.361290322580645,3.1,19.538015106103543,2,Tier 4
296,University of California Los Angeles,Veronica Santos,7.0200000000000005,0.5,5.713357429285666,0,Tier 6
297,University of Tokyo,Shinsuke Sando,8.905660377358492,5.3,81.5377139120898,4,Tier 2
298,University of Michigan,David Kohn,4.342424242424243,3.3,20.686130161404403,2,Tier 4
299,Johns Hopkins University,Amir Manbachi,3.090697674418605,4.3,17.621347359940692,2,Tier 4
300,Cornell University,Ilana Lauren Brito,21.675,0.8,37.41440729447552,3,Tier 3
301,Carnegie Mellon University,Tagbo H R Niepa,4.6,0.1,0.6736701270461648,0,Tier 6
302,Cornell University,Karl Lewis,16.793333333333333,1.5,50.99321506478532,3,Tier 3
303,University of Toronto,Marc Grynpas,4.903703703703704,5.4,39.40479169144967,3,Tier 3
304,University of Pittsburgh,Cui Xinyan,7.595918367346939,4.9,61.79046179952294,4,Tier 2
305,University of British Columbia,Jaykizhakkedathu,6.157458563535913,18.1,175.56197074261337,5,Tier 1
306,Shanghai Jiao Tong University,Zhijun Zhang,5.985561497326202,18.7,175.07443282265328,5,Tier 1
307,University of Michigan,Tristan Maerz,5.267441860465116,4.3,34.31374693776324,3,Tier 3
308,Columbia University,Jennifer Gelinas,10.05185185185185,2.7,48.32494440992098,3,Tier 3
309,Imperial College London,Andriy Kozlov,6.55,0.2,2.095712098890535,0,Tier 6
310,Stanford University,Karl Deisseroth,17.976165803108806,19.3,714.3789357811755,5,Tier 1
311,Massachusetts Institute of Technology,John M Essigmann,7.709677419354839,3.1,39.82510712951133,3,Tier 3
312,Harvard University,Shriya Srinivasan,11.270967741935484,3.1,64.01963626934798,4,Tier 2
313,Georgia Institute of Technology,Peng Qiu,6.484745762711864,5.9,61.05457383772345,4,Tier 2
314,Shanghai Jiao Tong University,Chongzhao Wu,2.2,0.2,0.5358686456775991,0,Tier 6
315,Johns Hopkins University,Mark Zarella,4.033333333333334,0.3,1.7147523203927009,0,Tier 6
316,University of Pittsburgh,Omar A Gharbawie,5.45,0.6,4.996281256810412,0,Tier 6
317,University of Washington,Elizabeth Nance,7.774545454545456,5.5,71.40135413461178,4,Tier 2
318,Johns Hopkins University,Brian Caffo,3.7408695652173916,11.5,59.82924845348019,4,Tier 2
319,University of Tokyo,Hitoshi Tabata,5.105263157894737,1.9,14.580629268344548,1,Tier 5
320,Northwestern University,Guillermo Ameer,7.277142857142858,7.0,83.66603073645702,4,Tier 2
321,University of Washington,Karl Böhringer,5.875,1.6,14.634565114845518,1,Tier 5
322,Rice University,Jerzy Szablowski,10.883333333333333,0.6,11.860518192300797,1,Tier 5
323,Georgia Institute of Technology,Sung-jin Park,10.52,0.5,9.473046717954055,1,Tier 5
324,University of Pennsylvania,Greg Bowman,0.7,0.1,0.06402838534600862,0,Tier 6
325,University of Toronto,Karina Carneiro,9.059999999999999,1.0,15.718469151965381,1,Tier 5
326,Nanyang Technological University,Tej S Choksi,6.583333333333333,0.6,6.327156211876312,0,Tier 6
327,University of Toronto,Berj Bardakjian,4.4,1.8,11.47065851064011,1,Tier 5
328,University of Pittsburgh,D'amore Antonio,5.411111111111111,4.5,37.13817672301497,3,Tier 3
329,Johns Hopkins University,Amir Kashani,3.6176470588235294,1.7,8.48167572623487,1,Tier 5
330,Georgia Institute of Technology,Deqiang Qiu,4.322222222222222,2.7,16.826648747212815,1,Tier 5
331,University of California Los Angeles,Holden Wu,4.2406779661016945,5.9,35.90427228513115,3,Tier 3
332,University of Sydney,Hamish Fernando,4.3875,0.8,5.079972939345805,0,Tier 6
333,University of Pittsburgh,Koontz Alicia,2.2820512820512824,3.9,10.938842178727624,1,Tier 5
334,University of Michigan,Steven Schwendeman,5.364406779661017,5.9,48.16750376848253,3,Tier 3
335,Shanghai Jiao Tong University,Guang-zhong Yang,11.880000000000003,3.5,77.19489754837716,4,Tier 2
336,University of Cambridge,David Cole,20.84,0.5,22.263433751814468,2,Tier 4
337,University of Washington,Christopher Sims,6.326666666666667,6.0,60.20325074059849,4,Tier 2
338,Georgia Institute of Technology,Baowei Fei,3.5379746835443044,7.9,38.332795518062845,3,Tier 3
339,University of British Columbia,Danagrecov,6.157458563535913,18.1,175.56197074261337,5,Tier 1
340,Johns Hopkins University,Jerry Prince,4.621827411167513,19.7,133.50065027217136,5,Tier 1
341,Carnegie Mellon University,Victoria Webster-wood,3.684615384615385,1.3,6.636415266223515,0,Tier 6
342,University of Michigan,Matthew Willsey,6.575,1.6,16.84572392887449,1,Tier 5
343,Imperial College London,Dario Farina,4.0847682119205295,15.1,87.68720341953738,4,Tier 2
344,Columbia University,Elias Issa,12.133333333333333,0.3,6.79354436482524,0,Tier 6
345,Columbia University,Grace Mcilvain,2.25,0.2,0.5511351921262151,0,Tier 6
346,University of Michigan,Sunitha Nagrath,7.026315789473685,5.7,65.20553110171109,4,Tier 2
347,Massachusetts Institute of Technology,David Gifford,11.044230769230772,5.2,104.6942148903366,4,Tier 2
348,Cornell University,James Antaki,3.6812499999999995,3.2,16.3171429574358,1,Tier 5
349,University of Pittsburgh,Balaban Carey,3.314285714285715,3.5,15.651482336948252,1,Tier 5
350,Massachusetts Institute of Technology,Angela Koehler,10.716666666666667,2.4,46.53566183644117,3,Tier 3
351,Georgia Institute of Technology,Jeffrey Markowitz,21.175,0.4,18.169344736029466,2,Tier 4
352,Johns Hopkins University,Siamak Ardekani,3.0,0.1,0.3948222038857478,0,Tier 6
353,University of California San Francisco,Nevan J Krogan,13.754545454545458,19.8,524.4728289073856,5,Tier 1
354,Columbia University,Harris Wang,15.725806451612904,6.2,194.1591433822685,5,Tier 1
355,Duke University,Amanda Randles,4.518918918918919,3.7,24.37782249039886,2,Tier 4
356,University of Michigan,Scott Lempka,4.051063829787233,4.7,27.0121539097477,2,Tier 4
357,University of California San Francisco,Nancy Sambol,3.6,0.3,1.4876452526366086,0,Tier 6
358,Cornell University,Alex Kwan,4.415384615384616,1.3,8.320588177932907,1,Tier 5
359,University of Toronto,Dawn Kilkenny,3.616666666666667,0.6,2.992518574301555,0,Tier 6
360,University of Pittsburgh,Tai Changfeng,3.077049180327869,6.1,24.85981440514691,2,Tier 4
361,Carnegie Mellon University,Pulkit Grover,4.320000000000001,1.5,9.342130778155928,1,Tier 5
362,Johns Hopkins University,Jude Phillip,9.222727272727274,2.2,35.358748788617284,3,Tier 3
363,Georgia Institute of Technology,Anant Paravastu,8.37241379310345,2.9,41.30107478552714,3,Tier 3
364,University of Pittsburgh,Bryan N Brown,6.186842105263158,3.8,37.07830625429113,3,Tier 3
365,McGill University,Sara Mahshid,7.778787878787878,3.3,42.8700362627116,3,Tier 3
366,Stanford University,Manu Prakash,8.238636363636363,4.4,61.41463067609637,4,Tier 2
367,Georgia Institute of Technology,Babak Mahmoudi,4.384615384615385,1.3,8.248172432173533,1,Tier 5
368,University of California Los Angeles,William Speier,4.113461538461538,5.2,30.46229677070997,2,Tier 4
369,University of Pittsburgh,Shemesh Or,30.1,0.2,14.100616957239282,1,Tier 5
370,Carnegie Mellon University,Philip R Leduc,7.075000000000001,2.8,32.308447275459486,2,Tier 4
371,Nanyang Technological University,Xu Rong,10.143333333333334,3.0,54.30591390583302,3,Tier 3
372,Nanyang Technological University,Chen Peng,9.228155339805824,10.3,165.66503070491882,5,Tier 1
373,University of Toronto,Molly Shoichet,6.832631578947367,9.5,104.94424080516883,4,Tier 2
374,Shanghai Jiao Tong University,Yani Kang,4.0311111111111115,4.5,25.703571642582325,2,Tier 4
375,Georgia Institute of Technology,Xiaofeng Yang,3.5534090909090916,8.8,42.932797054870576,3,Tier 3
376,Nanyang Technological University,Liu W Paul,5.8,0.1,0.9000880419498671,0,Tier 6
377,ETH Zurich,Aramesh Morteza,13.022222222222222,0.9,22.263779250794798,2,Tier 4
378,University of British Columbia,Calvinroskelley,6.157458563535913,18.1,175.56197074261337,5,Tier 1
379,Georgia Institute of Technology,Young Jang,6.886842105263159,3.8,42.39442547696483,3,Tier 3
380,University of California San Diego,Tzyy-ping Jung,4.063793103448275,5.8,33.46512717541884,3,Tier 3
381,Columbia University,Milan Stojanovic,6.188461538461539,2.6,25.377668388444146,2,Tier 4
382,Duke University,Michael Rubinstein,9.343243243243245,3.7,60.4399078351042,4,Tier 2
383,University of Tokyo,Kanako Harada,2.3299999999999996,3.0,8.636070042454607,1,Tier 5
384,University of Michigan,Mary-ann Mycek,4.310526315789474,1.9,11.800936595102723,1,Tier 5
385,University of California San Francisco,Thomas Ferrin,8.62,2.0,29.540243980765403,2,Tier 4
386,Northwestern University,Chamille Lescott,11.5,0.2,4.235476691632989,0,Tier 6
387,Massachusetts Institute of Technology,Bryan Bryson,10.485714285714286,3.5,66.0412932508611,4,Tier 2
388,Shanghai Jiao Tong University,Yao Guo,4.070833333333334,2.4,13.8776328728097,1,Tier 5
389,University of Pittsburgh,Ambrosio Fabrisia,7.590243902439024,4.1,51.653948026096785,3,Tier 3
390,Northwestern University,Mark Johnson,6.194117647058825,1.7,16.612050154167367,1,Tier 5
391,University of Tokyo,Tsutomu Suzuki,12.585470085470083,11.7,277.34648356056476,5,Tier 1
392,Northwestern University,Tai W Tai,3.8333333333333335,0.3,1.6091331680241456,0,Tier 6
393,Georgia Institute of Technology,Chloe Arson,3.85,0.6,3.2357664093977347,0,Tier 6
394,University of Pittsburgh,Shroff S Govinddas,8.52962962962963,2.7,39.357407318373106,3,Tier 3
395,University of Pittsburgh,Zhan Liang,4.019512195121951,4.1,23.334609906752558,2,Tier 4
396,Imperial College London,Simon R Schultz,5.411428571428571,3.5,28.887366885928873,2,Tier 4
397,University of Michigan,Jiahe Li,5.78,0.5,4.481050129188889,0,Tier 6
398,National University of Singapore,Yu Haoyong,2.913333333333334,1.5,5.709248959933282,0,Tier 6
399,Johns Hopkins University,Kostas Konstantopoulos,2.025,0.4,0.9662539354519666,0,Tier 6
400,Columbia University,Ke Cheng,13.269230769230772,1.3,32.92308598053199,2,Tier 4
401,University of California San Francisco,Noah Zaitlen,11.238028169014084,7.1,146.09016990189178,5,Tier 1
402,Tsinghua University,Chen Huijun,4.138888888888889,7.2,42.50472453935005,3,Tier 3
403,University of British Columbia,Edwardconway,6.157458563535913,18.1,175.56197074261337,5,Tier 1
404,University of Pennsylvania,Hyun Koo,9.383544303797468,7.9,129.74353522737874,5,Tier 1
405,Imperial College London,Anil A Bharath,4.54,1.5,9.940565129976525,1,Tier 5
406,University of Cambridge,Mate Lengyel,11.74230769230769,2.6,56.51518692558915,4,Tier 2
407,University of Toronto,Alison McGuigan,8.865217391304348,4.6,70.36708636096213,4,Tier 2
408,University of Cambridge,Timothy O'leary,7.427272727272728,2.2,26.97487215376209,2,Tier 4
409,University of Pittsburgh,Rossi Ethan,3.4416666666666664,2.4,11.250511002661193,1,Tier 5
410,Columbia University,Gerard A Ateshian,4.454666666666666,7.5,48.53782133229644,3,Tier 3
411,University of British Columbia,Tim Lee,4.695454545454545,2.2,15.20616615713015,1,Tier 5
412,Shanghai Jiao Tong University,Qiu Huang,4.697297297297298,3.7,25.586553123849587,2,Tier 4
413,ETH Zurich,Stampanoni Marco,5.141666666666667,7.2,55.74583100842881,3,Tier 3
414,Shanghai Jiao Tong University,Yazhu Chen,3.0100000000000002,1.0,3.9646798128677228,0,Tier 6
415,University of Toronto,Radhakrishnan Mahadevan,6.122784810126582,7.9,76.08750379336738,4,Tier 2
416,Johns Hopkins University,Youseph Yazdi,3.51875,1.6,7.710907580573404,1,Tier 5
417,Stanford University,Michael C Jewett,9.599999999999998,3.4,57.453694177872705,4,Tier 2
418,Tsinghua University,Wang Guangzhi,3.7564102564102577,3.9,20.39533668905634,2,Tier 4
419,Johns Hopkins University,Carey Priebe,9.43,2.0,33.04985904432964,3,Tier 3
420,University of Cambridge,Keith Seffen,11.6,0.5,10.703911036156496,1,Tier 5
421,University of California San Diego,Dan Kaufman,9.825000000000001,2.8,48.70502046352672,3,Tier 3
422,University of Pittsburgh,Mahboobin Arash,1.4,0.2,0.3045720456624376,0,Tier 6
423,Georgia Institute of Technology,Brooks Lindsey,3.86,1.5,8.11568888308436,1,Tier 5
424,University of Pittsburgh,Roy Partha,4.015384615384615,2.6,14.77856568968406,1,Tier 5
425,University of California Berkeley,Dorian Liepmann,4.5666666666666655,1.2,8.01088295828995,1,Tier 5
426,Carnegie Mellon University,Christopher J Bettinger,6.406060606060606,3.3,33.632003825302725,3,Tier 3
427,University of Cambridge,Graham Mcshane,4.7,0.1,0.6920258579387875,0,Tier 6
428,Carnegie Mellon University,O Burak Ozdoganlar,5.536363636363635,1.1,9.341646833498556,1,Tier 5
429,Georgia Institute of Technology,Todd Sulchek,5.884745762711865,5.9,54.076881987299274,3,Tier 3
430,University of California San Francisco,Catera Wilder,8.5,0.1,1.4513550123980228,0,Tier 6
431,University of California San Diego,Julian Schroeder,11.11025641025641,7.8,158.21574668785797,5,Tier 1
432,University of Pennsylvania,Beth A Winkelstein,4.4135593220338984,5.9,37.74315685685363,3,Tier 3
433,University of Pittsburgh,Storkus Walter,7.135185185185185,5.4,62.9724110040087,4,Tier 2
434,Massachusetts Institute of Technology,Forest White,9.962499999999999,7.2,127.43622981545394,5,Tier 1
435,University College London,Stefanie Frank,6.1000000000000005,1.4,13.421168517544727,1,Tier 5
436,University of British Columbia,Govindkaigala,6.157458563535913,18.1,175.56197074261337,5,Tier 1
437,Georgia Institute of Technology,Joe Brown,7.436231884057969,6.9,84.73059294949189,4,Tier 2
438,University of California San Francisco,Frances M Brodsky,6.116666666666666,0.6,5.771580636797174,0,Tier 6
439,Johns Hopkins University,Kathleen Cullen,7.6446808510638276,4.7,59.74437978595691,4,Tier 2
440,Georgia Institute of Technology,Yuhong Fan,7.550000000000001,1.2,15.018098055732015,1,Tier 5
441,University of Tokyo,Madoka Takai,6.042105263157894,5.7,53.995829156532416,3,Tier 3
442,University of Pittsburgh,Kameneva Marina,3.3052631578947373,1.9,8.46761599154975,1,Tier 5
443,University of California Los Angeles,Chang-jin “ Kim,5.083333333333333,1.2,9.159399087891625,1,Tier 5
444,Shanghai Jiao Tong University,Xuemin Xu,4.0,0.1,0.5656854249492381,0,Tier 6
445,University of Toronto,Leo Chou,14.330000000000002,1.0,27.88096094000882,2,Tier 4
446,Georgia Institute of Technology,Machelle Pardue,4.659420289855071,6.9,47.23500317573358,3,Tier 3
447,University of Pennsylvania,Dongeun Huh,13.282608695652174,2.3,58.321953087144934,4,Tier 2
448,Georgia Institute of Technology,David Ku,4.9452380952380945,4.2,30.973001821437524,2,Tier 4
449,McGill University,Ioannis Ragoussis,6.500000000000001,0.4,4.151467927847164,0,Tier 6
450,Shanghai Jiao Tong University,Tsung-yuan Tsai,3.1721518987341764,7.9,33.44410363237593,3,Tier 3
451,National University of Singapore,Poh Chueh Loo,6.911428571428571,3.5,39.22182741553646,3,Tier 3
452,University of California Los Angeles,Corey Arnold,4.4984126984127,6.3,41.27287004507075,3,Tier 3
453,Rice University,George Lu,12.4,0.2,4.653793429578662,0,Tier 6
454,Carnegie Mellon University,Newell R Washburn,6.342857142857144,1.4,14.092375227335868,1,Tier 5
455,Peking University,Liangyi Chen,10.201219512195122,8.2,149.4957920666867,5,Tier 1
456,Peking University,Zhixing Chen,12.021052631578947,1.9,42.52866246002323,3,Tier 3
457,University of California San Diego,Robert Sah,6.165384615384615,5.2,50.51886230734231,3,Tier 3
458,University of California Los Angeles,Thomas Graeber,17.11807228915663,8.3,288.9992145689345,5,Tier 1
459,University of Pittsburgh,Friberg Thomas,4.2333333333333325,0.9,5.465068278547394,0,Tier 6
460,Northwestern University,Igor Efimov,10.116666666666667,3.6,64.95301299595705,4,Tier 2
461,Stanford University,Wah Chiu,12.155855855855858,11.1,251.94451374699517,5,Tier 1
462,University of California San Diego,Brian Aguado,10.4,0.7,13.073435065772511,1,Tier 5
463,Carnegie Mellon University,Marc Dandin,10.7,0.1,1.9352172301823474,0,Tier 6
464,University of California San Diego,Gabriel Silva,3.8909090909090907,1.1,6.011135807961126,0,Tier 6
465,University of Pittsburgh,Menegazzi James,5.8,3.7,33.303257552145084,3,Tier 3
466,Shanghai Jiao Tong University,Jianlong Yang,3.608333333333334,1.2,5.967804106110006,0,Tier 6
467,University of Pittsburgh,Zhou Leming,4.5233333333333325,3.0,19.789940838417174,2,Tier 4
468,Northwestern University,Vadim Backman,5.944086021505376,9.3,86.31560239586406,4,Tier 2
469,National University of Singapore,Pakorn Kanchanawong,11.139999999999999,3.5,71.23190070025433,4,Tier 2
470,University of California Los Angeles,Xinshu Xiao,10.722222222222221,5.4,104.77309295728797,4,Tier 2
471,University of California Berkeley,Sanjay Kumar,9.019736842105264,7.6,118.79712373936312,4,Tier 2
472,Johns Hopkins University,Nicholas Theodore,3.0854166666666663,14.4,58.88501208589845,4,Tier 2
473,University College London,Qasim Rafiq,4.683333333333334,2.4,16.53503348026229,1,Tier 5
474,University of California San Diego,Andrew Bartko,33.1,0.1,7.939350810262862,1,Tier 5
475,Peking University,Aibin He,15.907499999999999,4.0,127.07566942561196,5,Tier 1
476,Massachusetts Institute of Technology,Anders S Hansen,14.450000000000001,2.4,67.61546679032574,4,Tier 2
477,Carnegie Mellon University,Conrad Tucker,11.525,0.4,8.49397853006743,1,Tier 5
478,Johns Hopkins University,Kishore Kuchibhotla,8.936363636363636,1.1,16.99588273642091,1,Tier 5
479,Shanghai Jiao Tong University,Yan Zhang,7.758333333333333,19.2,248.6060952683909,5,Tier 1
480,University of California San Diego,Jeffrey Omens,6.248571428571428,3.5,34.577530072765974,3,Tier 3
481,University of Washington,Colin Studholme,9.517391304347823,2.3,38.448131864969355,3,Tier 3
482,University of British Columbia,David Liu,7.265,6.0,71.56419224107749,4,Tier 2
483,Georgia Institute of Technology,Johnna Temenoff,5.516666666666667,3.0,25.363967262047552,2,Tier 4
484,Georgia Institute of Technology,Stephen Balakirsky,1.8,0.1,0.20849259335188847,0,Tier 6
485,University of Michigan,Lonnie Shea,8.743801652892563,12.1,181.9326904773015,5,Tier 1
486,University of California San Francisco,Willow Coyote-maestas,7.1625,0.8,9.373910026308325,1,Tier 5
487,Johns Hopkins University,Michael Beer,11.93030303030303,3.3,73.1691960988341,4,Tier 2
488,University of British Columbia,Francislynn,6.157458563535913,18.1,175.56197074261337,5,Tier 1
489,University of California San Diego,Stephanie Fraley,6.21851851851852,2.7,26.513827665726783,2,Tier 4
490,University of Toronto,Elaine Biddiss,3.1192307692307697,2.6,10.777864784274254,1,Tier 5
491,University of Pittsburgh,Woo Savio L Y,3.3857142857142857,0.7,3.214851541893672,0,Tier 6
492,Northwestern University,Mitra Hartmann,4.6482758620689655,2.9,19.793056563892666,2,Tier 4
493,University of California Los Angeles,Amy Rowat,7.3583333333333325,3.6,43.629157102891995,3,Tier 3
494,University of Pittsburgh,Billaud Marie,4.738461538461538,1.3,9.08845480976275,1,Tier 5
495,University of Pennsylvania,Dennis E Discher,8.502597402597402,7.7,111.79702449716868,4,Tier 2
496,Carnegie Mellon University,Xi Ren,7.346666666666667,3.0,36.28558874554759,3,Tier 3
497,Georgia Institute of Technology,Andreas Bommarius,7.305555555555555,3.6,43.23834479769763,3,Tier 3
498,Harvard University,David Mooney,12.14615384615385,19.5,442.1636977087964,5,Tier 1
499,University of Toronto,Piero Triverio,2.4,0.5,1.4935991454923478,0,Tier 6
500,Columbia University,Michael Lipton,2.5444444444444443,0.9,2.892235986924435,0,Tier 6
501,University of California San Diego,Geoffrey Chang,6.59375,1.6,16.90579423975343,1,Tier 5
502,University of California San Diego,Adam Engler,11.429113924050633,7.9,166.01326595100673,5,Tier 1
503,Georgia Institute of Technology,Edward Botchwey,7.019444444444444,3.6,41.13210418821469,3,Tier 3
504,Johns Hopkins University,Ji Yi,3.5571428571428574,0.7,3.4195950036620366,0,Tier 6
505,Tsinghua University,Song Sen,10.339285714285717,2.8,51.912411321668614,3,Tier 3
506,Shanghai Jiao Tong University,Chenxi Hu,4.3,1.5,9.28809884422973,1,Tier 5
507,McGill University,Maryam Tabrizian,6.529411764705882,6.8,70.97435990726689,4,Tier 2
508,Georgia Institute of Technology,Saurabh Sinha,4.5470588235294125,1.7,11.287873585640785,1,Tier 5
509,University of British Columbia,Michael Lee,5.618367346938776,4.9,42.38466395625204,3,Tier 3
510,University of Toronto,Bowen Li,15.569999999999999,1.0,30.92863588131187,2,Tier 4
511,Cornell University,Jonathan T Butcher,8.320370370370371,5.4,76.3083535652958,4,Tier 2
512,Imperial College London,Etienne Burdet,3.682758620689655,5.8,29.589972535012112,2,Tier 4
513,University of California Berkeley,Irina Conboy,10.297058823529412,3.4,62.714853079375374,4,Tier 2
514,University of Pittsburgh,Wang James,4.611627906976745,4.3,29.05937563364917,2,Tier 4
515,University of California Berkeley,Amy E. Herr,9.824193548387099,6.2,107.83576584082762,4,Tier 2
516,Georgia Institute of Technology,Leslie Chan,4.7,0.1,0.6920258579387875,0,Tier 6
517,University of Pittsburgh,Syed-picard Fatima,4.7700000000000005,1.0,7.04933214495836,0,Tier 6
518,University College London,Chris Mason,6.763999999999999,2.5,27.270588324201466,2,Tier 4
519,Stanford University,Annelise E Barron,4.934285714285715,3.5,25.739399516135435,2,Tier 4
520,University of Tokyo,Akira Hirose,5.528571428571428,0.7,5.934227560909611,0,Tier 6
521,University of California Los Angeles,Shantanu Joshi,4.551807228915662,8.3,55.18333187461274,3,Tier 3
522,University of Toronto,Warren Chan,12.9,8.1,198.0259734017222,5,Tier 1
523,University of Cambridge,Abir Al-tabbaa,6.113888888888887,3.6,34.609826964629356,3,Tier 3
524,University of Oxford,Thompson Mark,7.886206896551724,2.9,38.32509201986795,3,Tier 3
525,Northwestern University,Molly Bright,3.6052631578947376,1.9,9.43897452848474,1,Tier 5
526,University of Pittsburgh,St H Cynthia,3.6000000000000005,0.5,2.4794087543943477,0,Tier 6
527,University of Pittsburgh,Vodovotz Yoram,4.941935483870969,12.4,91.36776983418955,4,Tier 2
528,University of California San Diego,Kevin King,10.429166666666667,2.4,44.980393618776716,3,Tier 3
529,Johns Hopkins University,Andrew Ewald,9.975384615384616,6.5,115.23261527051704,4,Tier 2
530,Cornell University,Nate Cira,8.1,0.1,1.3664894202125482,0,Tier 6
531,University of California San Diego,Ludmil Alexandrov,17.04705882352941,8.5,294.4291128682205,5,Tier 1
532,University of Pittsburgh,Rajkumar Kubendran,50.5,0.1,13.462143717970447,1,Tier 5
533,University of Toronto,Masoom Haider,6.653781512605042,11.9,127.16940268842151,5,Tier 1
534,University of California San Francisco,Sourav Bandyopadhyay,12.492857142857142,2.8,65.76354994850942,4,Tier 2
535,University of California San Diego,Elliot Mcveigh,4.6971428571428575,3.5,24.202501483591778,2,Tier 4
536,Georgia Institute of Technology,Minsu Kim,4.5249999999999995,0.4,2.639874134156266,0,Tier 6
537,University of British Columbia,Rogertam,6.157458563535913,18.1,175.56197074261337,5,Tier 1
538,University of British Columbia,Antonyhodgson,6.157458563535913,18.1,175.56197074261337,5,Tier 1
539,University of Tokyo,Hiroaki Matsui,4.445454545454546,2.2,14.20096634799357,1,Tier 5
540,Rice University,Gang Bao,12.01645569620253,7.9,176.74517969063095,5,Tier 1
541,Johns Hopkins University,Kevin Yarema,6.472727272727273,3.3,34.070073891914106,3,Tier 3
542,Johns Hopkins University,Hanzhang Lu,4.148571428571429,17.5,103.61228791977224,4,Tier 2
543,University of California San Diego,Erika Cyphert,1.9333333333333336,0.3,0.6839190145017767,0,Tier 6
544,Johns Hopkins University,Jonathan Schneck,8.119047619047619,4.2,57.561307606543245,4,Tier 2
545,University of Toronto,Anton Zilman,7.731034482758622,2.9,37.384795630036464,3,Tier 3
546,Georgia Institute of Technology,David Anderson,4.510526315789474,1.9,12.48928646770047,1,Tier 5
547,University of Tokyo,Hirohide Saito,13.353846153846156,1.3,33.1857252271235,3,Tier 3
548,University of Oxford,Kamnitsas Konstantinos,22.050000000000004,0.4,19.112642374067352,2,Tier 4
549,Johns Hopkins University,Casey Overby Taylor,3.6500000000000004,2.6,13.117148297540295,1,Tier 5
550,University of California Los Angeles,Pirouz Kavehpour,3.5444444444444447,0.9,4.37701189101923,0,Tier 6
551,National University of Singapore,Cheow Lih Feng,11.629166666666668,2.4,51.54030511113664,3,Tier 3
552,University of Washington,Rong Tian,7.66,19.0,242.12496056508155,5,Tier 1
553,University of California Berkeley,Adam Arkin,7.773076923076922,15.6,202.47238811071867,5,Tier 1
554,University of Hong Kong,Sloan Kulper,6.0,0.1,0.9390507480439724,0,Tier 6
555,Imperial College London,Pete Lally,4.55,0.4,2.65811788235794,0,Tier 6
556,University of California San Diego,Lingyan Shi,8.807142857142859,2.8,42.48169460098475,3,Tier 3
557,University of California San Francisco,Brian Shoichet,11.964864864864866,11.1,247.00612704873166,5,Tier 1
558,Imperial College London,Holger G Krapp,5.154545454545455,1.1,8.543398267318587,1,Tier 5
559,Peking University,Qiushi Ren,3.9075757575757573,6.6,36.26003289805178,3,Tier 3
560,University of California Los Angeles,Hong Z Zhou,9.428,2.5,41.30137172998502,3,Tier 3
561,Massachusetts Institute of Technology,Angela Belcher,11.011764705882353,3.4,68.20246491235619,4,Tier 2
562,University of Michigan,Luis Hernandez-garcia,3.4749999999999996,2.4,11.38688023553866,1,Tier 5
563,Shanghai Jiao Tong University,Peng Miao,5.073333333333333,3.0,22.842203791442227,2,Tier 4
564,University of Michigan,Thomas Wang,9.57123287671233,7.3,122.89457557117233,5,Tier 1
565,Rice University,Michael R King,3.266666666666667,0.3,1.317505026932427,0,Tier 6
566,Duke University,Brian C Mac Grory,4.3,0.3,1.8576197688459457,0,Tier 6
567,Peking University,Bei Liu,6.320138888888888,14.4,144.3014748706029,5,Tier 1
568,University of California San Diego,Xiaohua Huang,8.75,0.4,6.019633599438188,0,Tier 6
569,Johns Hopkins University,Hien Nguyen,3.420833333333334,2.4,11.165447554643533,1,Tier 5
570,University College London,Gary Lye,4.134782608695652,2.3,13.561061551579995,1,Tier 5
571,University of Pittsburgh,Beniash Elia,5.325714285714286,3.5,28.316552267511558,2,Tier 4
572,Georgia Institute of Technology,Felipe Quiroz,35.166666666666664,0.3,25.69125151529558,2,Tier 4
573,Georgia Institute of Technology,Karl Jacob,6.871428571428572,1.4,15.575314727488289,1,Tier 5
574,National University of Singapore,Martin Lindsay Buist,3.8999999999999995,0.7,3.836443430630617,0,Tier 6
575,Shanghai Jiao Tong University,Hanyu Rao,7.021428571428571,1.4,16.00147024840696,1,Tier 5
576,University of Pittsburgh,Corcoran Timothy,4.296969696969697,3.3,20.41581885166682,2,Tier 4
577,Johns Hopkins University,Kwame Kutten,3.0599999999999996,1.0,4.047173130565584,0,Tier 6
578,University of California San Diego,Karsten Zengler,9.16543209876543,8.1,129.1743245462832,5,Tier 1
